idx,timestamp,action,delta_before,delta_after,delta_change,quantity_traded,PnL_closing_futures,PnL_closing_options,PnL_total
116,2020/05/11 11:12:00.372,sell,0.5872067133509162,-0.41279328664908377,-1,1,-418.7000000000189,405.0,-13.700000000018917
117,2020/05/11 11:13:00.723,buy,-0.5464649031964939,0.4535350968035061,1,1,-414.9000000000233,475.0,60.09999999997672
120,2020/05/11 11:16:00.066,buy,-0.8998987794942792,0.10010122050572079,1,1,-338.1000000000204,585.0,246.89999999997963
123,2020/05/11 11:19:00.050,sell,0.9598388394034174,-0.04016116059658259,-1,1,-391.2500000000073,650.0,258.7499999999927
126,2020/05/11 11:22:00.233,buy,-0.6210828825195307,0.3789171174804693,1,1,-362.5500000000102,515.0,152.4499999999898
128,2020/05/11 11:25:00.173,sell,0.6192993514748153,-0.3807006485251847,-1,1,-374.25,690.0,315.75
128,2020/05/11 11:25:00.173,sell,-0.3807006485251847,-6.380700648525185,-6,6,-382.3500000000058,690.0,307.6499999999942
128,2020/05/11 11:25:00.173,SHORT EXIT : RESPONSE EXIT_P,,,,,,,
133,2020/05/11 11:30:00.034,SHORT START : NEUTRAL,,,,,,,
133,2020/05/11 11:30:00.034,buy,-6.442739587131804,-0.44273958713180406,6,6,7.800000000010186,-195.0,-187.1999999999898
134,2020/05/11 11:31:00.086,sell,0.7234028275420954,-0.2765971724579046,-1,1,-61.05000000000291,-15.000000000007276,-76.05000000001019
136,2020/05/11 11:33:00.005,buy,-0.6407944590992969,0.3592055409007031,1,1,-50.25,50.0,-0.25
139,2020/05/11 11:36:00.004,sell,1.0680758135437856,0.06807581354378556,-1,1,-84.40000000000873,30.0,-54.40000000000873
141,2020/05/11 11:38:00.069,sell,0.5316415038618345,-0.4683584961381655,-1,1,-105.70000000001164,135.0,29.29999999998836
142,2020/05/11 11:39:00.673,buy,-1.366377214646377,-0.36637721464637707,1,1,-77.15000000000873,100.0,22.84999999999127
144,2020/05/11 11:41:00.011,sell,0.8069058413692076,-0.19309415863079238,-1,1,-126.1000000000131,25.0,-101.1000000000131
145,2020/05/11 11:43:00.106,buy,-0.9379479713164613,0.06205202868353865,1,1,-103.20000000001164,100.00000000000728,-3.2000000000043656
146,2020/05/11 11:44:00.367,sell,0.6817658030551854,-0.3182341969448146,-1,1,-128.45000000001164,55.0,-73.45000000001164
147,2020/05/11 11:45:00.044,buy,-1.2119462439274002,-0.21194624392740025,1,1,-100.15000000000873,175.0,74.84999999999127
149,2020/05/11 11:47:00.002,buy,-0.5906640052925454,0.40933599470745463,1,1,-85.10000000000582,125.0,39.89999999999418
150,2020/05/11 11:48:00.006,sell,0.9372756023214208,-0.06272439767857918,-1,1,-107.90000000000873,-5.0,-112.90000000000873
